,NINO3.4,PDO,NPI,NPGO,AO
1989.6,-0.27,0.319941949,0.102364407,0.775372608,0.982436628
1989.7,-0.24,0.006596741,0.153957309,0.52876993,1.040363316
1989.8,-0.22,-0.188007124,0.713826527,0.238569135,0.800778535
1989.8,-0.16,-0.27376476,0.3240129,-0.009417608,0.176560545
1989.9,-0.05,-0.333135431,0.255386288,-0.061308212,0.18119468
1990.0,0.14,-0.38261099,1.440082674,-0.05517914,1.741971361
1990.1,0.21,-0.517844185,1.667199416,0.192343957,3.426016034
1990.2,0.28,-0.32983706,1.477239684,0.184183726,3.832893091
1990.3,0.29,0.029685335,-0.346281448,0.239405436,2.693359284
1990.3,0.29,0.37931262,0.000548785,0.02401666,1.448630613
1990.4,0.31,0.37931262,-0.146138907,-0.125903627,0.440706242
1990.5,0.33,0.27046639,-0.19511439,-0.196190459,-0.079707123
1990.6,0.38,0.250676166,-0.359648279,-0.224329926,-0.317901664
1990.7,0.39,-0.065967412,0.015513862,-0.182917443,0.125121646
1990.8,0.35,-0.659674121,1.570501033,-0.305449454,0.449974512
1990.8,0.4,-1.520548849,2.306230846,-0.717408128,1.139070393
1990.9,0.41,-1.959232139,2.215510299,-0.904558647,1.168265443
1991.0,0.41,-1.794313609,-0.058919535,-0.774266304,0.520876778
1991.1,0.26,-1.302856389,-0.196530896,-0.556575685,-0.315121183
1991.2,0.22,-0.969720958,-0.617229706,-0.395283354,-0.404559989
1991.3,0.26,-0.745431757,0.166511653,-0.321801849,0.226609203
1991.3,0.45,-0.986212811,-0.204889174,-0.196069961,0.417535567
1991.4,0.64,-0.686061086,-0.072730026,-0.277965099,0.084804671
1991.5,0.73,-0.399102843,-0.179791177,-0.432282149,0.228926271
1991.6,0.64,0.300151725,-0.726870857,-0.600480184,0.230316511
1991.7,0.62,0.494755591,-0.492468463,-0.78361191,0.200658047
1991.8,0.79,0.514545814,-0.68949469,-0.663122464,-0.036609667
1991.8,1.21,0.32983706,-0.339517853,-0.442500267,0.762778627
1991.9,1.53,0.184708754,-1.771375882,0.032326516,1.134436257
1992.0,1.71,0.148426677,-1.444779417,-0.052915575,1.52231336
1992.1,1.63,0.339732172,-1.652057943,-0.235215596,1.230826266
1992.2,1.48,0.570618115,-0.609211745,-0.813072581,0.734510404
1992.3,1.29,0.976317699,-0.501829877,-1.214693891,0.835997961
1992.3,1.06,1.170921565,-0.502088233,-1.373607522,0.240048195
1992.4,0.73,1.550234184,-0.264804718,-1.382251005,0.56999861
1992.5,0.37,1.517250478,-0.34193215,-1.217850609,0.196487326
1992.6,0.09,1.375420542,0.080092296,-1.096675502,0.039853561
1992.7,-0.13,1.055478594,-0.056825957,-0.948680943,-0.21826776
1992.8,-0.25,0.887261693,-0.168327275,-0.958638774,-0.133926503
1992.8,-0.28,0.788310575,0.573104198,-1.235184734,0.916631911
1992.9,-0.13,0.498053961,1.275092652,-1.789438966,2.705871449
1993.0,0.09,0.253974537,0.545278312,-2.047414792,2.458872052
1993.1,0.3,0.32983706,-1.067815908,-2.009391218,2.058946198
1993.2,0.5,0.712448051,-2.585728031,-1.39210754,0.237731127
1993.3,0.67,1.352331948,-2.124843204,-1.076772437,-0.592242458
1993.3,0.7,1.873474504,-1.477428551,-1.058835001,-1.187265397
1993.4,0.57,2.249488753,-0.471133561,-1.334678963,-1.222484823
1993.5,0.32,2.434197506,0.063598461,-1.46211445,-0.65990083
1993.6,0.25,2.176924599,0.380142185,-1.571685202,-0.586218082
1993.7,0.15,1.866877762,0.290084456,-1.774354928,-0.611242412
1993.8,0.1,1.388614025,0.655919036,-2.219543069,0.035219426
1993.8,0.04,1.226993865,0.201605374,-2.205482095,0.154316697
1993.9,0.06,1.161026453,0.610136484,-2.055436417,0.282682237
1994.0,0.06,0.946632364,0.661449647,-1.749514756,-0.581120534
1994.1,0.07,0.857576357,0.974447652,-1.706096845,0.338755271
1994.2,0.17,0.804802428,0.429915901,-1.584046458,0.576486399
1994.3,0.31,1.015898146,-0.283028651,-1.080985376,0.922656286
1994.3,0.42,0.903753546,-0.069296558,-0.707826846,0.795217573
1994.4,0.41,0.577214856,0.139122301,-0.48710096,0.853607674
1994.5,0.44,-0.089056006,0.596169197,-0.654280172,1.290606608
1994.6,0.43,-0.689359456,0.248825814,-0.802219849,0.507437787
1994.7,0.55,-1.1445346,0.23876951,-0.922067473,0.425413597
1994.8,0.74,-1.530443961,0.978419215,-1.170904145,0.866119839
1994.8,1.01,-1.672273897,0.569897014,-1.144478316,1.319338246
1994.9,1.09,-1.398509136,-0.185245171,-0.961018364,1.167338616
1995.0,0.96,-0.60030345,-1.399166132,-0.922758242,1.00514389
1995.1,0.72,0.237482684,-0.932757822,-1.234045867,0.772973724
1995.2,0.53,0.672867603,-0.424976837,-1.631720083,0.3980722
1995.3,0.3,1.002704664,-0.410246953,-1.614735979,-0.677047129
1995.3,0.14,1.174219935,-0.569439099,-1.312816268,-0.911070949
1995.4,-0.03,1.464476549,-0.401466396,-1.215186222,-0.565364475
1995.5,-0.24,1.052180223,-0.005177821,-1.065756403,0.099633903
1995.6,-0.54,1.015898146,-0.558137339,-1.019547913,-0.102877798
1995.7,-0.81,0.606900191,-0.450418716,-0.725106394,0.032438945
1995.8,-0.97,0.445280032,-0.449668591,-0.506586629,-0.554705964
1995.8,-1,0.115442971,-1.236994869,-0.173768271,-1.285972473
1995.9,-0.98,0.155023418,-0.977419642,-0.210137814,-1.876824691
1996.0,-0.9,0.494755591,-1.156132849,-0.442720893,-1.466240326
1996.1,-0.75,0.775117092,0.159644715,-0.851972173,-1.16780203
1996.2,-0.59,1.062075335,-1.114877771,-0.791129824,-1.318411419
1996.3,-0.39,1.533742331,-0.99270722,-0.857670854,-1.498679272
1996.3,-0.31,1.563427667,-0.555363125,-0.831058923,-0.581120534
1996.4,-0.3,1.335840095,0.606836647,-0.965429725,0.456925715
1996.5,-0.27,0.570618115,0.653720334,-0.807516052,0.619583855
1996.6,-0.32,0.286958243,0.473328701,-0.769694158,-0.139024051
1996.7,-0.35,-0.075862524,0.5881744,-0.816764462,-0.385560035
1996.8,-0.4,0,0.638635878,-0.922312141,-0.380462487
1996.8,-0.45,-0.089056006,0.859078113,-1.04857621,-0.649705732
1996.9,-0.49,0.095652748,-0.219633312,-1.228273709,-0.946290375
1997.0,-0.5,0.158321789,-1.064728102,-1.232151071,-0.133926503
1997.1,-0.36,0.38261099,-1.022202623,-1.011141587,1.16919227
1997.2,-0.1,0.65307738,-0.960398404,-0.671004013,1.531118217
1997.3,0.28,1.164324824,-0.684104839,-0.600252126,0.210389731
1997.3,0.75,1.860281021,-1.099337182,-0.696336662,-0.672876408
1997.4,1.22,2.2890692,-0.599064571,-0.776182919,-1.022753603
1997.5,1.6,2.605712778,-0.28402466,-0.748779956,-0.521340192
1997.6,1.9,2.417705653,-0.516800299,-0.611740447,-0.053292553
1997.7,2.14,2.173626229,-0.18974592,-0.558323556,-0.177950785
1997.8,2.33,1.622798338,-0.327973772,-0.270441566,-0.540340146
1997.8,2.4,1.121446006,0.056569382,-0.047852081,-0.663608138
1997.9,2.39,0.864173098,-1.059737367,0.288712378,-1.303582186
1998.0,2.24,1.009301405,-2.214503599,0.806386713,-1.082070532
1998.1,1.93,1.451283066,-2.955778277,0.996128238,-1.166875203
1998.2,1.44,1.596411373,-1.937164137,0.994208407,-0.220121414
1998.3,0.99,1.312751501,-0.434835365,0.507591791,0.06348765
1998.3,0.45,0.781713833,0.653745278,0.275363559,-0.148292321
1998.4,-0.13,0.349627284,0.764879552,0.236868151,-0.228926271
1998.5,-0.78,0.046177188,1.032702587,0.235391125,-0.126511887
1998.6,-1.12,-0.484860479,0.62192823,0.213034313,-0.283609064
1998.7,-1.31,-0.930140511,0.715214525,0.12473409,-0.049121831
1998.8,-1.35,-1.029091629,-0.079951536,0.258107622,-1.021826776
1998.8,-1.48,-0.775117092,0.466198061,0.475356138,0.091755874
1998.9,-1.57,-0.422191437,0.517662676,0.77050177,0.006487789
1999.0,-1.55,-0.468368626,0.738600242,1.246420578,0.901339265
1999.1,-1.3,-0.432086549,0.213632314,1.607966709,-0.417072153
1999.2,-1.07,-0.461771885,0.269378519,1.777006478,-0.336438204
1999.3,-0.98,-0.468368626,0.504869575,1.5671912,-0.455072061
1999.3,-1.02,-0.788310575,0.262825173,1.546504319,0.563974234
1999.4,-1.04,-0.87076984,0.304292281,1.466929968,0.431437972
1999.5,-1.1,-0.963124217,-0.089990022,1.415604943,0.015292646
1999.6,-1.11,-1.038986741,0.141741501,1.235544448,-0.284999305
1999.7,-1.16,-1.556830926,0.094624403,1.174870074,-0.286852959
1999.8,-1.26,-1.916353321,0.462062576,1.141004379,0.307706567
1999.8,-1.46,-1.949337028,0.82825351,1.065375982,0.763705454
1999.9,-1.65,-1.873474504,1.864830851,1.133073661,1.355021085
2000.0,-1.66,-1.47107329,0.476443402,1.373905255,1.570508365
2000.1,-1.41,-0.837786134,-1.070339164,1.702758443,0.87816859
2000.2,-1.07,-0.062669041,-2.219946909,1.990903155,0.160341072
2000.3,-0.81,0.194603866,-0.7434407,2.01992388,0.110755827
2000.3,-0.71,-0.046177188,0.377251612,2.005767111,0.591315631
2000.4,-0.64,-0.37931262,0.193348265,1.792976786,0.419852635
2000.5,-0.55,-0.755326869,0.329712979,1.532445084,0.037536494
